fare_network_scope,boarding_stop_id,alighting_stop_id,boarding_stop_name_en,alighting_stop_name_en,adult_octopus_fare_hkd,currency,cost_component,fare_amount_role,cost_source,cost_effective_date,cost_effective_date_status,source_record_id,source_file,source_sha256,record_status,candidate_records_json,matching_method,unresolved_reason
light_rail_station_od,1,1,Tuen Mun Ferry Pier,Tuen Mun Ferry Pier,0.0,HKD,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,mtr_light_rail_fares:csv_line_000002,data/transit/hongkong/MTR/light_rail_fares.csv,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8,available,"[{""csv_line"":2,""fare_hkd"":0.0,""source_record_id"":""mtr_light_rail_fares:csv_line_000002""}]",exact_ordered_stop_id_raw_csv_record,
light_rail_station_od,1,10,Tuen Mun Ferry Pier,Melody Garden,5.1,HKD,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,mtr_light_rail_fares:csv_line_000003,data/transit/hongkong/MTR/light_rail_fares.csv,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8,available,"[{""csv_line"":3,""fare_hkd"":5.1,""source_record_id"":""mtr_light_rail_fares:csv_line_000003""}]",exact_ordered_stop_id_raw_csv_record,
light_rail_station_od,1,15,Tuen Mun Ferry Pier,Butterfly,5.1,HKD,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,mtr_light_rail_fares:csv_line_000004,data/transit/hongkong/MTR/light_rail_fares.csv,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8,available,"[{""csv_line"":4,""fare_hkd"":5.1,""source_record_id"":""mtr_light_rail_fares:csv_line_000004""}]",exact_ordered_stop_id_raw_csv_record,
light_rail_station_od,1,20,Tuen Mun Ferry Pier,Light Rail Depot,5.3,HKD,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,mtr_light_rail_fares:csv_line_000005,data/transit/hongkong/MTR/light_rail_fares.csv,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8,available,"[{""csv_line"":5,""fare_hkd"":5.3,""source_record_id"":""mtr_light_rail_fares:csv_line_000005""}]",exact_ordered_stop_id_raw_csv_record,
light_rail_station_od,1,30,Tuen Mun Ferry Pier,Lung Mun,5.3,HKD,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,mtr_light_rail_fares:csv_line_000006,data/transit/hongkong/MTR/light_rail_fares.csv,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8,available,"[{""csv_line"":6,""fare_hkd"":5.3,""source_record_id"":""mtr_light_rail_fares:csv_line_000006""}]",exact_ordered_stop_id_raw_csv_record,
light_rail_station_od,1,40,Tuen Mun Ferry Pier,Tsing Shan Tsuen,5.3,HKD,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,mtr_light_rail_fares:csv_line_000012,data/transit/hongkong/MTR/light_rail_fares.csv,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8,available,"[{""csv_line"":12,""fare_hkd"":5.3,""source_record_id"":""mtr_light_rail_fares:csv_line_000012""}]",exact_ordered_stop_id_raw_csv_record,
light_rail_station_od,1,50,Tuen Mun Ferry Pier,Tsing Wun,5.4,HKD,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,mtr_light_rail_fares:csv_line_000013,data/transit/hongkong/MTR/light_rail_fares.csv,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8,available,"[{""csv_line"":13,""fare_hkd"":5.4,""source_record_id"":""mtr_light_rail_fares:csv_line_000013""}]",exact_ordered_stop_id_raw_csv_record,
light_rail_station_od,1,60,Tuen Mun Ferry Pier,Kin On,5.4,HKD,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,mtr_light_rail_fares:csv_line_000014,data/transit/hongkong/MTR/light_rail_fares.csv,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8,available,"[{""csv_line"":14,""fare_hkd"":5.4,""source_record_id"":""mtr_light_rail_fares:csv_line_000014""}]",exact_ordered_stop_id_raw_csv_record,
light_rail_station_od,1,70,Tuen Mun Ferry Pier,Ho Tin,5.4,HKD,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,mtr_light_rail_fares:csv_line_000015,data/transit/hongkong/MTR/light_rail_fares.csv,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8,available,"[{""csv_line"":15,""fare_hkd"":5.4,""source_record_id"":""mtr_light_rail_fares:csv_line_000015""}]",exact_ordered_stop_id_raw_csv_record,
light_rail_station_od,1,75,Tuen Mun Ferry Pier,Choy Yee Bridge,5.4,HKD,public_transport_fare,base_adult_octopus_fare_before_unmodelled_concessions,mtr_light_rail_fares,2024-06-30,external_official_reference_not_locally_archived,mtr_light_rail_fares:csv_line_000016,data/transit/hongkong/MTR/light_rail_fares.csv,f5d229966a8ecfe73eb701c554113de0247a709fd746ff995bd3d0068230c6a8,available,"[{""csv_line"":16,""fare_hkd"":5.4,""source_record_id"":""mtr_light_rail_fares:csv_line_000016""}]",exact_ordered_stop_id_raw_csv_record,
