artifact_path,artifact_role,version_status,hash_type,sha256,source_commit,preserved_in_place,canonical_offline_integration_source,allowed_as_current_matsim_scoring_input,replacement_path,legacy_confirmed_charged_private_car_legs,canonical_confirmed_charged_private_car_legs,transition_reason
data/transport_costs/hongkong/car_cost_v1/car_leg_cost_estimates_low.parquet,initial_top_level_result,superseded_offline_prototype,file_sha256,d8565da49f0701adba8427ca7d7c11ffab3da62750d775acbbc78cf997ff72e5,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,superseded_by_topology_mapped_physical_passage_event_toll_and_unified_null_preserving_interface
data/transport_costs/hongkong/car_cost_v1/car_leg_cost_estimates_base.parquet,initial_top_level_result,superseded_offline_prototype,file_sha256,d55cc3cd7cd545c4809985b2dd58d48cd45bba1afec3d686227009337cda51c9,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,superseded_by_topology_mapped_physical_passage_event_toll_and_unified_null_preserving_interface
data/transport_costs/hongkong/car_cost_v1/car_leg_cost_estimates_high.parquet,initial_top_level_result,superseded_offline_prototype,file_sha256,83f2157ceea3af0d293f2ce89d4f59d983ed1e72f9d86a741b0328329044c329,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,superseded_by_topology_mapped_physical_passage_event_toll_and_unified_null_preserving_interface
data/transport_costs/hongkong/car_cost_v1/car_cost_model_validation.json,initial_top_level_result,superseded_offline_prototype,file_sha256,28ec941b040d4825022d997d0a94f2c7fd3d3c6bfa04c3480f58c20ae5d9eeb3,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,superseded_by_topology_mapped_physical_passage_event_toll_and_unified_null_preserving_interface
data/transport_costs/hongkong/car_cost_v1/car_cost_summary_by_component.csv,initial_top_level_result,superseded_offline_prototype,file_sha256,04cf08f8c873d4a5fc60365f7a62ee4923cde2ef8fe96aac22b1d6187e5a918b,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,superseded_by_topology_mapped_physical_passage_event_toll_and_unified_null_preserving_interface
data/transport_costs/hongkong/car_cost_v1/car_cost_summary_by_distance.csv,initial_top_level_result,superseded_offline_prototype,file_sha256,bd97cebf39e638d31b7bf9371192ae317c0400b0f9f5fc91515cc898f396f9e8,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,superseded_by_topology_mapped_physical_passage_event_toll_and_unified_null_preserving_interface
data/transport_costs/hongkong/car_cost_v1/car_cost_summary_by_destination.csv,initial_top_level_result,superseded_offline_prototype,file_sha256,6d7832c585c9d22e3eae1d646474d3829390ba7c6d1b5201e2a1829d2fa0b6ea,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,superseded_by_topology_mapped_physical_passage_event_toll_and_unified_null_preserving_interface
data/transport_costs/hongkong/car_cost_v1/car_cost_summary_by_activity.csv,initial_top_level_result,superseded_offline_prototype,file_sha256,dd8342bcf13955b4bd986bfc806bd23c51b842fbcbfb884c901e6efb74400aad,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,superseded_by_topology_mapped_physical_passage_event_toll_and_unified_null_preserving_interface
data/transport_costs/hongkong/car_cost_v1/car_cost_source_manifest.json,initial_prototype_supporting_asset,historical_provenance_not_canonical_behavior_interface,file_sha256,59ec17f178c8b6994fc6199c1c15970f062bff1e825a1e23843f1e1887f398f0,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,retained_as_initial_model_provenance_only
data/transport_costs/hongkong/car_cost_v1/car_energy_cost_parameters.csv,initial_prototype_supporting_asset,historical_provenance_not_canonical_behavior_interface,file_sha256,f806975dffa3212d9c66c4c819a2946b210c2baf32f8161d3163c67b609f2152,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,retained_as_initial_model_provenance_only
data/transport_costs/hongkong/car_cost_v1/car_toll_rules.csv,initial_prototype_supporting_asset,historical_provenance_not_canonical_behavior_interface,file_sha256,2f61eec886adb8f35f09848b18ea507d8a71b7c7c6021b663228dd95c47dd21c,797f103e4cb12fbcc83a8cf9669bdbb1feb13b48,True,False,False,data/transport_costs/hongkong/car_cost_v1/unified_marginal_cost_interface_v1/,1008,25858,retained_as_initial_model_provenance_only
